year,state,name,chrstprot,chrstcat,chrstorth,chrstang,chrstothr,chrstgen,judorth,jdcons,judref,judothr,judgen,islmsun,islmshi,islmibd,islmnat,islmalw,islmahm,islmothr,islmgen,budmah,budthr,budothr,budgen,zorogen,hindgen,sikhgen,shntgen,bahgen,taogen,jaingen,confgen,syncgen,anmgen,nonrelig,othrgen,sumrelig,pop,chrstprotpct,chrstcatpct,chrstorthpct,chrstangpct,chrstothrpct,chrstgenpct,judorthpct,judconspct,judrefpct,judothrpct,judgenpct,islmsunpct,islmshipct,islmibdpct,islmnatpct,islmalwpct,islmahmpct,islmothrpct,islmgenpct,budmahpct,budthrpct,budothrpct,budgenpct,zorogenpct,hindgenpct,sikhgenpct,shntgenpct,bahgenpct,taogenpct,jaingenpct,confgenpct,syncgenpct,anmgenpct,nonreligpct,othrgenpct,sumreligpct,total,dualrelig,datatype,sourcereliab,recreliab,reliabilevel,sourcecode,version
"2010",990,WSM,"139,757","35,883",0,0,"4,500","180,140",0,0,0,0,0,0,0,0,0,0,0,61,61,0,0,19,19,0,0,0,0,"1,001",0,0,0,19,0,"2,750","4,871","183,990","188,861",0.74,0.19,0,0,0.0238,0.9538,0,0,0,0,0,0,0,0,0,0,0,0.0003,0.0003,0,0,0.0001,0.0001,0,0,0,0,0.0053,0,0,0,0.0001,0,0.0146,0.0258,0.9742,1,0,24,5,10,Medium,83,1.1
"2010",987,FSM,"33,500","57,500",0,0,"5,000","96,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,650,0,0,0,0,800,0,0,0,333,"7,500","3,500","2,188","108,783","110,971",0.3019,0.5182,0,0,0.0451,0.8651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0059,0.0059,0,0,0,0,0.0072,0,0,0,0.003,0.0676,0.0315,0.0197,0.9803,1,0,24,5,10,Medium,83,1.1
"2010",986,PAL,"3,700","12,891",0,0,"1,800","18,391",0,0,0,0,0,0,0,0,0,0,0,470,470,0,0,182,182,0,27,0,0,100,0,0,0,53,"1,800",326,21,"21,349","21,370",0.1731,0.6032,0,0,0.0842,0.8606,0,0,0,0,0,0,0,0,0,0,0,0.022,0.022,0,0,0.0085,0.0085,0,0.0013,0,0,0.0047,0,0,0,0.0025,0.0842,0.0153,0.001,0.999,1,0,24,5,10,Medium,83,1.1
"2010",983,MSI,"42,561","4,910",0,0,"3,500","50,971",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,600",0,0,0,0,700,"1,200",95,"54,471","54,566",0.78,0.09,0,0,0.0641,0.9341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293,0,0,0,0,0.0128,0.022,0.0017,0.9983,1,0,24,5,10,Medium,83,1.1
"2010",970,NAU,"6,459","3,179",0,0,0,"9,638",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,"9,638","9,937",0.65,0.3199,0,0,0,0.9699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301,0.9699,1,0,24,5,10,Medium,83,1.1
"2010",955,TON,"46,119","13,626",0,"2,000","37,000","98,745",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,126,0,105,0,0,"3,711",0,0,0,0,5,454,"1,671","103,146","104,817",0.44,0.13,0,0.0191,0.353,0.9421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0.0012,0,0.001,0,0,0.0354,0,0,0,0,0,0.0043,0.0159,0.9841,1,0,24,5,10,Medium,83,1.1
"2010",950,FIJ,"420,000","105,000",0,"8,600","16,363","549,963",0,0,0,0,0,0,0,0,0,0,0,"51,559","51,559",0,0,0,0,0,"240,609","4,200",0,"2,200",0,0,0,0,"1,400","9,042",345,"858,973","859,318",0.4888,0.1222,0,0.01,0.019,0.64,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0,0,0,0,0,0.28,0.0049,0,0.0026,0,0,0,0,0.0016,0.0105,0.0004,0.9996,1,0,24,5,10,Medium,83,1.1
"2010",95,PAN,"805,444","3,361,450",0,0,0,"4,166,894",0,0,0,"6,590","6,590",0,0,0,0,0,0,"13,181","13,181",0,0,"16,233","16,233",0,593,148,0,"24,856",0,0,0,"3,106",0,0,"23,399","4,231,601","4,255,000",0.1893,0.79,0,0,0,0.9793,0,0,0,0.0015,0.0015,0,0,0,0,0,0,0.0031,0.0031,0,0,0.0038,0.0038,0,0.0001,0,0,0.0058,0,0,0,0.0007,0,0,0.0055,0.9945,1,0,24,5,20,Medium,83,1.1
"2010",947,TUV,"9,664",100,0,0,0,"9,764",0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,152,0,0,0,0,0,70,71,"9,996","10,067",0.96,0.0099,0,0,0,0.9699,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0.0151,0,0,0,0,0,0.007,0.0071,0.9929,1,0,24,5,10,Medium,83,1.1
"2010",946,KIR,"42,230","56,650",0,0,0,"98,880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,"2,060",0,0,0,0,0,"1,030","1,017","101,983","103,000",0.41,0.55,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0,0,0,0,0.02,0,0,0,0,0,0.01,0.0099,0.9901,1,0,24,5,10,Medium,83,1.1
